Mass(GeV),Counts
4.033333333333332860e+01,3.420000000000000000e+02
4.100000000000000000e+01,3.460000000000000000e+02
4.166666666666667140e+01,4.050000000000000000e+02
4.233333333333332860e+01,3.710000000000000000e+02
4.300000000000000000e+01,3.650000000000000000e+02
4.366666666666667140e+01,3.820000000000000000e+02
4.433333333333332860e+01,3.740000000000000000e+02
4.500000000000000000e+01,3.980000000000000000e+02
4.566666666666667140e+01,3.890000000000000000e+02
4.633333333333332860e+01,4.210000000000000000e+02
4.700000000000000000e+01,4.050000000000000000e+02
4.766666666666667140e+01,4.140000000000000000e+02
4.833333333333332860e+01,4.110000000000000000e+02
4.900000000000000000e+01,3.760000000000000000e+02
4.966666666666666430e+01,3.720000000000000000e+02
5.033333333333332860e+01,3.750000000000000000e+02
5.100000000000000000e+01,4.240000000000000000e+02
5.166666666666666430e+01,3.740000000000000000e+02
5.233333333333332860e+01,3.870000000000000000e+02
5.300000000000000000e+01,3.790000000000000000e+02
5.366666666666666430e+01,4.010000000000000000e+02
5.433333333333332860e+01,4.130000000000000000e+02
5.500000000000000000e+01,4.150000000000000000e+02
5.566666666666666430e+01,3.840000000000000000e+02
5.633333333333332860e+01,4.170000000000000000e+02
5.700000000000000000e+01,3.950000000000000000e+02
5.766666666666666430e+01,3.800000000000000000e+02
5.833333333333332860e+01,3.730000000000000000e+02
5.900000000000000000e+01,3.870000000000000000e+02
5.966666666666666430e+01,4.090000000000000000e+02
6.033333333333332860e+01,3.770000000000000000e+02
6.100000000000000000e+01,3.800000000000000000e+02
6.166666666666666430e+01,4.190000000000000000e+02
6.233333333333332860e+01,4.100000000000000000e+02
6.300000000000000000e+01,3.480000000000000000e+02
6.366666666666666430e+01,3.970000000000000000e+02
6.433333333333332860e+01,3.880000000000000000e+02
6.500000000000000000e+01,4.310000000000000000e+02
6.566666666666665719e+01,3.530000000000000000e+02
6.633333333333332860e+01,3.910000000000000000e+02
6.700000000000000000e+01,3.800000000000000000e+02
6.766666666666665719e+01,3.570000000000000000e+02
6.833333333333332860e+01,3.870000000000000000e+02
6.900000000000000000e+01,3.760000000000000000e+02
6.966666666666665719e+01,3.400000000000000000e+02
7.033333333333332860e+01,3.410000000000000000e+02
7.100000000000000000e+01,3.560000000000000000e+02
7.166666666666665719e+01,3.950000000000000000e+02
7.233333333333332860e+01,3.770000000000000000e+02
7.300000000000000000e+01,3.200000000000000000e+02
7.366666666666665719e+01,3.850000000000000000e+02
7.433333333333332860e+01,3.310000000000000000e+02
7.500000000000000000e+01,3.670000000000000000e+02
7.566666666666665719e+01,3.370000000000000000e+02
7.633333333333332860e+01,3.630000000000000000e+02
7.700000000000000000e+01,3.370000000000000000e+02
7.766666666666665719e+01,3.370000000000000000e+02
7.833333333333332860e+01,3.420000000000000000e+02
7.900000000000000000e+01,3.490000000000000000e+02
7.966666666666665719e+01,3.240000000000000000e+02
8.033333333333332860e+01,3.410000000000000000e+02
8.100000000000000000e+01,3.390000000000000000e+02
8.166666666666665719e+01,3.310000000000000000e+02
8.233333333333332860e+01,3.290000000000000000e+02
8.300000000000000000e+01,3.420000000000000000e+02
8.366666666666665719e+01,3.090000000000000000e+02
8.433333333333332860e+01,3.440000000000000000e+02
8.500000000000000000e+01,2.910000000000000000e+02
8.566666666666665719e+01,3.220000000000000000e+02
8.633333333333332860e+01,3.070000000000000000e+02
8.700000000000000000e+01,3.050000000000000000e+02
8.766666666666665719e+01,3.040000000000000000e+02
8.833333333333332860e+01,2.790000000000000000e+02
8.900000000000000000e+01,2.770000000000000000e+02
8.966666666666665719e+01,2.920000000000000000e+02
9.033333333333332860e+01,2.850000000000000000e+02
9.100000000000000000e+01,2.890000000000000000e+02
9.166666666666665719e+01,2.940000000000000000e+02
9.233333333333332860e+01,3.010000000000000000e+02
9.300000000000000000e+01,2.650000000000000000e+02
9.366666666666665719e+01,2.740000000000000000e+02
9.433333333333332860e+01,2.910000000000000000e+02
9.500000000000000000e+01,2.780000000000000000e+02
9.566666666666665719e+01,2.660000000000000000e+02
9.633333333333332860e+01,2.910000000000000000e+02
9.700000000000000000e+01,2.650000000000000000e+02
9.766666666666665719e+01,2.780000000000000000e+02
9.833333333333332860e+01,2.870000000000000000e+02
9.900000000000000000e+01,2.640000000000000000e+02
9.966666666666665719e+01,2.610000000000000000e+02
1.003333333333333286e+02,2.500000000000000000e+02
1.010000000000000000e+02,2.530000000000000000e+02
1.016666666666666572e+02,2.500000000000000000e+02
1.023333333333333286e+02,2.410000000000000000e+02
1.030000000000000000e+02,2.560000000000000000e+02
1.036666666666666572e+02,2.290000000000000000e+02
1.043333333333333286e+02,2.510000000000000000e+02
1.050000000000000000e+02,2.190000000000000000e+02
1.056666666666666572e+02,2.280000000000000000e+02
1.063333333333333286e+02,2.080000000000000000e+02
1.070000000000000000e+02,2.380000000000000000e+02
1.076666666666666572e+02,2.460000000000000000e+02
