Mass(GeV),Counts
4.033333333333332860e+01,2.265000000000000000e+03
4.100000000000000000e+01,2.275000000000000000e+03
4.166666666666667140e+01,2.267000000000000000e+03
4.233333333333332860e+01,2.335000000000000000e+03
4.300000000000000000e+01,2.412000000000000000e+03
4.366666666666667140e+01,2.281000000000000000e+03
4.433333333333332860e+01,2.310000000000000000e+03
4.500000000000000000e+01,2.343000000000000000e+03
4.566666666666667140e+01,2.377000000000000000e+03
4.633333333333332860e+01,2.363000000000000000e+03
4.700000000000000000e+01,2.473000000000000000e+03
4.766666666666667140e+01,2.464000000000000000e+03
4.833333333333332860e+01,2.427000000000000000e+03
4.900000000000000000e+01,2.498000000000000000e+03
4.966666666666666430e+01,2.636000000000000000e+03
5.033333333333332860e+01,2.699000000000000000e+03
5.100000000000000000e+01,2.748000000000000000e+03
5.166666666666666430e+01,2.929000000000000000e+03
5.233333333333332860e+01,2.988000000000000000e+03
5.300000000000000000e+01,3.110000000000000000e+03
5.366666666666666430e+01,3.155000000000000000e+03
5.433333333333332860e+01,3.279000000000000000e+03
5.500000000000000000e+01,3.436000000000000000e+03
5.566666666666666430e+01,3.602000000000000000e+03
5.633333333333332860e+01,3.684000000000000000e+03
5.700000000000000000e+01,3.965000000000000000e+03
5.766666666666666430e+01,4.069000000000000000e+03
5.833333333333332860e+01,4.137000000000000000e+03
5.900000000000000000e+01,4.408000000000000000e+03
5.966666666666666430e+01,4.521000000000000000e+03
6.033333333333332860e+01,4.707000000000000000e+03
6.100000000000000000e+01,4.794000000000000000e+03
6.166666666666666430e+01,4.848000000000000000e+03
6.233333333333332860e+01,5.083000000000000000e+03
6.300000000000000000e+01,5.391000000000000000e+03
6.366666666666666430e+01,5.459000000000000000e+03
6.433333333333332860e+01,5.622000000000000000e+03
6.500000000000000000e+01,5.794000000000000000e+03
6.566666666666665719e+01,5.945000000000000000e+03
6.633333333333332860e+01,6.188000000000000000e+03
6.700000000000000000e+01,6.143000000000000000e+03
6.766666666666665719e+01,6.243000000000000000e+03
6.833333333333332860e+01,6.478000000000000000e+03
