Mass(GeV),Counts
4.033333333333332860e+01,2.058600000000000000e+04
4.100000000000000000e+01,1.988400000000000000e+04
4.166666666666667140e+01,1.936900000000000000e+04
4.233333333333332860e+01,1.837400000000000000e+04
4.300000000000000000e+01,1.791600000000000000e+04
4.366666666666667140e+01,1.716800000000000000e+04
4.433333333333332860e+01,1.642000000000000000e+04
4.500000000000000000e+01,1.597700000000000000e+04
4.566666666666667140e+01,1.544400000000000000e+04
4.633333333333332860e+01,1.495500000000000000e+04
4.700000000000000000e+01,1.440200000000000000e+04
4.766666666666667140e+01,1.413300000000000000e+04
4.833333333333332860e+01,1.357000000000000000e+04
4.900000000000000000e+01,1.330500000000000000e+04
4.966666666666666430e+01,1.265800000000000000e+04
5.033333333333332860e+01,1.248400000000000000e+04
5.100000000000000000e+01,1.199400000000000000e+04
5.166666666666666430e+01,1.173200000000000000e+04
5.233333333333332860e+01,1.146900000000000000e+04
5.300000000000000000e+01,1.110200000000000000e+04
5.366666666666666430e+01,1.112400000000000000e+04
5.433333333333332860e+01,1.072800000000000000e+04
5.500000000000000000e+01,1.065700000000000000e+04
5.566666666666666430e+01,1.034500000000000000e+04
5.633333333333332860e+01,1.024900000000000000e+04
5.700000000000000000e+01,1.000800000000000000e+04
5.766666666666666430e+01,9.807000000000000000e+03
5.833333333333332860e+01,9.690000000000000000e+03
5.900000000000000000e+01,9.661000000000000000e+03
5.966666666666666430e+01,9.484000000000000000e+03
6.033333333333332860e+01,9.345000000000000000e+03
6.100000000000000000e+01,9.400000000000000000e+03
6.166666666666666430e+01,9.436000000000000000e+03
6.233333333333332860e+01,9.234000000000000000e+03
6.300000000000000000e+01,9.409000000000000000e+03
6.366666666666666430e+01,9.188000000000000000e+03
6.433333333333332860e+01,9.504000000000000000e+03
6.500000000000000000e+01,9.586000000000000000e+03
6.566666666666665719e+01,9.560000000000000000e+03
6.633333333333332860e+01,9.864000000000000000e+03
6.700000000000000000e+01,1.005700000000000000e+04
6.766666666666665719e+01,1.035500000000000000e+04
6.833333333333332860e+01,1.045700000000000000e+04
6.900000000000000000e+01,1.063700000000000000e+04
6.966666666666665719e+01,1.102600000000000000e+04
7.033333333333332860e+01,1.145900000000000000e+04
7.100000000000000000e+01,1.165000000000000000e+04
7.166666666666665719e+01,1.224100000000000000e+04
7.233333333333332860e+01,1.267600000000000000e+04
7.300000000000000000e+01,1.326700000000000000e+04
7.366666666666665719e+01,1.419900000000000000e+04
7.433333333333332860e+01,1.465600000000000000e+04
7.500000000000000000e+01,1.586400000000000000e+04
7.566666666666665719e+01,1.683000000000000000e+04
7.633333333333332860e+01,1.805000000000000000e+04
7.700000000000000000e+01,1.948000000000000000e+04
7.766666666666665719e+01,2.114800000000000000e+04
7.833333333333332860e+01,2.318300000000000000e+04
7.900000000000000000e+01,2.548600000000000000e+04
7.966666666666665719e+01,2.846300000000000000e+04
8.033333333333332860e+01,3.119200000000000000e+04
8.100000000000000000e+01,3.482200000000000000e+04
8.166666666666665719e+01,3.897900000000000000e+04
8.233333333333332860e+01,4.383400000000000000e+04
8.300000000000000000e+01,5.088300000000000000e+04
8.366666666666665719e+01,5.759600000000000000e+04
8.433333333333332860e+01,6.757300000000000000e+04
8.500000000000000000e+01,8.116000000000000000e+04
8.566666666666665719e+01,9.880300000000000000e+04
8.633333333333332860e+01,1.234350000000000000e+05
8.700000000000000000e+01,1.575960000000000000e+05
8.766666666666665719e+01,2.068500000000000000e+05
8.833333333333332860e+01,2.733530000000000000e+05
8.900000000000000000e+01,3.623610000000000000e+05
8.966666666666665719e+01,4.620640000000000000e+05
9.033333333333332860e+01,5.406260000000000000e+05
9.100000000000000000e+01,5.628830000000000000e+05
9.166666666666665719e+01,5.121010000000000000e+05
9.233333333333332860e+01,4.145080000000000000e+05
9.300000000000000000e+01,3.096750000000000000e+05
9.366666666666665719e+01,2.212250000000000000e+05
9.433333333333332860e+01,1.578170000000000000e+05
9.500000000000000000e+01,1.136950000000000000e+05
9.566666666666665719e+01,8.268900000000000000e+04
9.633333333333332860e+01,6.305500000000000000e+04
9.700000000000000000e+01,4.902800000000000000e+04
9.766666666666665719e+01,3.959100000000000000e+04
9.833333333333332860e+01,3.194900000000000000e+04
9.900000000000000000e+01,2.681200000000000000e+04
9.966666666666665719e+01,2.252800000000000000e+04
1.003333333333333286e+02,1.931000000000000000e+04
1.010000000000000000e+02,1.662800000000000000e+04
1.016666666666666572e+02,1.474400000000000000e+04
1.023333333333333286e+02,1.283500000000000000e+04
1.030000000000000000e+02,1.146400000000000000e+04
1.036666666666666572e+02,1.011800000000000000e+04
1.043333333333333286e+02,9.267000000000000000e+03
1.050000000000000000e+02,8.665000000000000000e+03
1.056666666666666572e+02,7.780000000000000000e+03
1.063333333333333286e+02,7.019000000000000000e+03
1.070000000000000000e+02,6.421000000000000000e+03
1.076666666666666572e+02,5.991000000000000000e+03
1.083333333333333286e+02,5.587000000000000000e+03
1.090000000000000000e+02,5.136000000000000000e+03
1.096666666666666572e+02,4.799000000000000000e+03
1.103333333333333286e+02,4.473000000000000000e+03
1.110000000000000000e+02,4.110000000000000000e+03
1.116666666666666572e+02,4.093000000000000000e+03
1.123333333333333286e+02,3.821000000000000000e+03
1.130000000000000000e+02,3.537000000000000000e+03
1.136666666666666572e+02,3.356000000000000000e+03
1.143333333333333286e+02,3.124000000000000000e+03
1.150000000000000000e+02,3.078000000000000000e+03
1.156666666666666572e+02,2.857000000000000000e+03
1.163333333333333286e+02,2.841000000000000000e+03
1.170000000000000000e+02,2.647000000000000000e+03
1.176666666666666572e+02,2.487000000000000000e+03
1.183333333333333286e+02,2.437000000000000000e+03
1.190000000000000000e+02,2.238000000000000000e+03
1.196666666666666572e+02,2.128000000000000000e+03
